Test_Doc_Devanagari,Test_Scene_Devanagari,Training_Doc_Devanagari,Training_Scene_Devanagari,Script
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,3,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,6,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,9,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,6,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,9,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,6,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,7,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,8,,Devanagari
,,0,,Devanagari
,,10,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,6,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,7,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,6,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,3,,Devanagari
,,0,,Devanagari
,,2,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,1,,Devanagari
,,6,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,6,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,4,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,6,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
,,6,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,2,,Devanagari
,,5,,Devanagari
,,4,,Devanagari
,,0,,Devanagari
,,4,,Devanagari
,,4,,Devanagari
,,7,,Devanagari
,,1,,Devanagari
,,0,,Devanagari
,,5,,Devanagari
,,0,,Devanagari
,,0,,Devanagari
